Av Prev Scores,Paper Swap,Side Glance,Score,Ans Time,Score / Ans Time,Cheat
66.24422866,0,0,61.33724876,35,1.752492822,0
38.05567039,0,0,42.28407821,29,1.458071662,0
36.69974995,0,0,40.77749994,27,1.510277776,0
64.10045392,0,0,61.04805136,41,1.488976862,0
20.69460815,0,0,19.16167422,10,1.916167422,0
29.78275839,0,0,28.3645318,21,1.350691991,0
76.5,0,0,85,54,1.574074074,0
52.82067232,0,0,48.01879302,35,1.371965515,0
29.14353747,0,0,26.98475691,18,1.499153162,0
67.88713811,0,0,64.65441725,36,1.795956035,0
82.27352787,0,0,68.56127323,41,1.672226176,0
48.92672626,0,0,54.36302918,28,1.941536756,0
47.50221218,0,0,43.18382926,24,1.799326219,0
34.45696754,0,0,32.81615957,22,1.491643617,0
44.47908128,0,0,42.36102979,23,1.841783904,0
73.48192989,0,0,69.98279037,41,1.706897326,0
29.89088276,0,0,28.46750739,18,1.581528188,0
58.91907879,0,0,54.55470258,38,1.435650068,0
72.98426066,0,0,69.50881967,46,1.511061297,0
60.64676287,0,0,52.73631554,29,1.818493639,0
56.90855513,0,0,52.6931066,31,1.699777632,0
49.12355703,0,0,42.71613655,25,1.708645462,0
51.42749429,0,0,48.97856599,33,1.48419897,0
28.06926359,0,0,24.4080553,16,1.525503456,0
51.80399067,0,0,54.53051649,34,1.60383872,0
64.32202276,0,0,53.60168563,31,1.729086633,0
24.92039058,0,0,22.65490053,11,2.059536412,0
25.98376558,0,0,24.0590422,20,1.20295211,0
44.77545437,0,0,40.70495852,24,1.696039938,0
35.78634442,0,0,37.66983623,27,1.39517912,0
47.18971573,0,0,39.32476311,29,1.356026314,0
59.82012602,0,0,55.38900558,30,1.846300186,0
50.18225979,0,0,41.81854983,29,1.44201896,0
20.78082357,0,0,19.24150331,16,1.202593957,0
56.00606434,0,0,48.70092551,27,1.803737982,0
43.53689792,0,0,39.57899811,23,1.720826005,0
42.69587035,0,0,39.53321329,28,1.411900475,0
65.80713655,0,0,57.223597,30,1.907453233,0
59.16145735,0,0,49.30121446,34,1.450035719,0
53.33865923,0,0,44.44888269,29,1.532720093,0
49.74807042,0,0,47.37911469,30,1.579303823,0
29.78843932,0,0,25.90299071,13,1.992537747,0
36.04893414,0,0,31.34689925,22,1.424859057,0
47.81757592,0,0,41.5805008,30,1.386016693,0
78.40523704,0,0,74.67165432,46,1.623296833,0
60.99450463,0,0,56.47639317,32,1.764887287,0
26.52562012,0,0,24.11420011,12,2.009516675,0
53.72203067,0,0,56.54950597,33,1.713621393,0
72.5204167,0,0,60.43368058,32,1.888552518,0
24.74170503,0,0,23.5635286,13,1.812579123,0
35.80676915,0,0,37.69133595,22,1.713242543,0
46.69466652,0,0,42.44969683,27,1.572210994,0
43.91213198,0,0,36.59344332,22,1.663338333,0
35.20970237,0,0,32.00882034,25,1.280352813,0
41.52419235,0,0,46.1379915,30,1.53793305,0
39.89401123,0,0,44.32667914,23,1.927246919,0
31.5230773,0,0,28.657343,23,1.245971435,0
42.16153429,0,0,38.32866754,26,1.474179521,0
37.57210364,0,0,35.78295585,25,1.431318234,0
27.31125631,0,0,28.74869085,16,1.796793178,0
60.23715082,0,0,54.7610462,33,1.659425642,0
56.23810915,0,0,51.12555377,31,1.649211412,0
33.08057738,0,0,34.8216604,24,1.450902517,0
35.74621472,0,0,39.71801636,29,1.369586771,0
55.54494652,0,0,51.43050604,34,1.512661942,0
34.62438771,0,0,32.05961825,25,1.28238473,0
39.78415584,0,0,37.88967223,23,1.647377053,0
41.42136686,0,0,43.6014388,28,1.557194243,0
27.90480967,0,0,26.57600921,22,1.208000419,0
35.04778213,0,0,33.37884013,26,1.283801543,0
20,0,0,30,20,1.5,0
